sport,start_time,duration,cadence,distance,avg_heart_rate,max_heart_rate,speed,total_ascent,total_descent,training_stress_score,pct_z1,pct_z2,pct_z3,pct_z4,pct_z5,label,reward
running,2025-01-01 08:52:23,2526.0,0,8279.0,141,162,3.285,144.0,144.0,0,16.22,69.45,14.33,0.0,0.0,hard,
running,2025-01-01 15:15:17,1960.0,0,6522.0,149,171,3.372,96.0,96.0,0,4.95,35.36,50.56,9.13,0.0,hard,
running,2025-01-02 11:17:06,2473.0,0,7946.64,150,168,3.227,132.0,130.0,0,5.94,26.85,61.46,5.74,0.0,hard,
running,2025-01-02 16:11:05,2909.0,0,10360.95,159,184,3.615,124.0,124.0,0,4.82,11.44,42.24,20.68,20.81,hard,
running,2025-01-03 11:25:06,3207.0,0,10653.61,153,176,3.381,184.0,182.0,0,6.98,19.69,58.82,13.15,1.36,hard,
running,2025-01-03 16:09:58,1895.0,0,5620.73,139,170,3.02,156.0,154.0,0,30.07,46.29,14.67,8.97,0.0,hard,
running,2025-01-04 08:18:28,2146.0,0,7006.05,146,171,3.276,120.0,120.0,0,20.24,34.85,27.04,17.88,0.0,hard,
running,2025-01-06 11:22:07,3551.0,0,12429.0,157,173,3.557,384.0,383.0,0,0.53,12.42,61.79,25.26,0.0,hard,
training,2025-01-07 15:21:34,802.0,0,0,88,104,0.0,0.0,0,0,100.0,0.0,0.0,0.0,0.0,easy,
running,2025-01-07 18:13:49,1603.0,0,4901.0,149,173,3.117,90.0,94.0,0,17.64,34.06,32.2,16.1,0.0,hard,
running,2025-01-07 18:53:17,2339.0,0,9119.26,160,187,3.897,300.0,298.0,0,12.81,12.1,13.99,33.6,27.51,hard,
running,2025-01-07 19:44:32,526.0,0,1830.0,154,169,3.471,50.0,50.0,0,5.88,25.24,36.24,32.64,0.0,hard,
running,2025-01-08 11:31:02,2285.0,0,7706.52,152,166,3.464,234.0,229.0,0,3.06,28.08,61.9,6.96,0.0,hard,
running,2025-01-08 15:19:17,3057.0,0,11078.0,147,167,3.658,182.0,184.0,0,3.75,54.32,40.1,1.83,0.0,hard,
running,2025-01-09 11:34:43,1331.0,0,3953.0,143,168,2.961,58.0,56.0,0,15.25,53.8,26.7,4.25,0.0,hard,
