sport,start_time,duration,cadence,distance,avg_heart_rate,max_heart_rate,speed,total_ascent,total_descent,training_stress_score,pct_z1,pct_z2,pct_z3,pct_z4,pct_z5
running,2026-04-12 07:01:36,6992.0,85,25885.59,153,179,3.741,236.0,222.0,121.0,12.42,29.0,43.55,13.72,1.31
running,2026-04-13 10:24:48,2884.0,84,10024.0,136,171,3.536,49.0,47.0,33.0,31.85,61.65,5.29,1.22,0.0
running,2026-04-14 10:54:53,1834.0,84,5901.46,135,149,3.276,89.0,89.0,20.0,16.03,83.97,0.0,0.0,0.0
running,2026-04-15 16:58:41,1615.0,82,4881.17,139,166,3.028,14.0,14.0,20.0,32.41,60.02,6.33,1.25,0.0
running,2026-04-15 17:47:06,1863.0,82,5758.06,162,195,3.09,17.0,18.0,39.0,14.5,20.09,14.12,8.97,42.32
running,2026-04-15 18:24:26,314.0,80,876.43,132,136,2.785,4.0,4.0,3.0,19.49,80.51,0.0,0.0,0.0
running,2026-04-16 07:43:56,1824.0,85,5995.5,145,162,3.285,43.0,40.0,25.0,5.65,71.64,22.71,0.0,0.0
training,2026-04-16 10:39:19,2068.0,0,0,121,165,0,0,0,14.0,72.02,20.54,6.67,0.77,0.0
cycling,2026-04-16 13:48:33,10375.0,0,67379.38,128,180,6.622,419.0,299.0,83.0,57.74,33.77,4.83,2.69,0.97
running,2026-04-17 05:44:59,1950.0,84,6464.56,138,148,3.312,14.0,14.0,23.0,13.07,86.93,0.0,0.0,0.0
cycling,2026-04-17 13:01:20,8861.0,0,62830.27,124,174,7.172,266.0,366.0,64.0,73.1,23.56,1.68,1.61,0.04
running,2026-04-18 08:40:24,2803.0,80,7879.9,140,163,2.807,27.0,27.0,34.0,24.38,45.83,29.59,0.2,0.0
running,2026-04-18 09:40:56,2481.0,84,9872.0,139,160,3.977,30.0,29.0,29.0,18.19,68.1,13.71,0.0,0.0
running,2026-04-18 10:36:25,165.0,80,435.72,126,137,2.623,2.0,2.0,1.0,59.04,40.96,0.0,0.0,0.0
cycling,2026-04-19 07:08:01,10203.0,0,68950.59,136,179,6.892,654.0,655.0,100.0,43.65,41.28,11.82,2.97,0.28
running,2026-04-20 10:53:04,2883.0,84,9495.37,139,161,3.319,69.0,69.0,35.0,20.83,58.7,20.47,0.0,0.0
running,2026-04-22 17:05:11,4712.0,74,10112.42,135,172,2.144,24.0,25.0,45.0,37.91,44.1,14.34,3.65,0.0
running,2026-04-23 10:42:17,1869.0,84,6229.11,137,153,3.372,43.0,42.0,21.0,14.77,82.69,2.55,0.0,0.0
running,2026-04-23 17:26:28,1416.0,82,4685.31,133,152,3.3,36.0,42.0,15.0,24.8,71.95,3.25,0.0,0.0
running,2026-04-24 10:36:30,2872.0,83,9503.43,139,174,3.346,73.0,67.0,35.0,14.29,76.44,4.33,4.54,0.39
running,2026-04-25 08:49:45,4695.0,86,17639.71,153,191,3.779,86.0,82.0,84.0,5.39,52.22,15.57,6.34,20.48
training,2026-04-25 11:59:22,4968.0,0,0,123,187,0,0,0,38.0,66.65,19.86,7.91,3.76,1.81
running,2026-04-26 09:20:07,3627.0,87,13138.96,153,168,3.657,177.0,148.0,62.0,1.77,21.25,69.86,7.12,0.0
running,2026-04-27 16:50:26,2876.0,85,9593.17,137,150,3.418,72.0,70.0,33.0,8.7,91.23,0.07,0.0,0.0
running,2026-04-28 10:43:30,1212.0,85,4167.69,140,160,3.434,35.0,32.0,15.0,6.01,79.45,14.54,0.0,0.0
running,2026-04-28 11:15:06,2045.0,84,7464.03,160,191,3.647,16.0,14.0,43.0,11.05,16.57,17.94,28.89,25.56
running,2026-04-28 11:59:08,389.0,83,1223.34,138,148,3.125,12.0,1.0,5.0,11.37,88.63,0.0,0.0,0.0
running,2026-04-29 10:19:04,2886.0,85,10120.2,145,166,3.599,71.0,72.0,40.0,4.01,69.75,24.58,1.67,0.0
running,2026-05-01 15:55:08,2363.0,82,6525.28,131,161,2.83,98.0,92.0,23.0,55.42,36.76,7.82,0.0,0.0
running,2026-05-02 08:42:47,3637.0,74,9271.02,134,188,2.574,24.0,25.0,39.0,41.39,45.26,9.88,1.89,1.58
running,2026-05-03 14:56:15,4505.0,86,16599.33,148,162,3.682,72.0,70.0,69.0,7.16,41.56,51.28,0.0,0.0
running,2026-05-04 06:54:14,1874.0,85,6386.43,143,158,3.44,29.0,37.0,26.0,8.55,62.29,29.16,0.0,0.0
running,2026-05-04 11:14:23,1844.0,85,6235.66,134,152,3.422,43.0,45.0,20.0,23.05,76.3,0.65,0.0,0.0
training,2026-05-05 11:57:55,1221.0,0,362.75,85,122,0.297,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0
running,2026-05-05 17:23:44,3229.0,80,10025.94,148,188,3.143,38.0,39.0,53.0,26.52,27.95,14.11,9.88,21.54
running,2026-05-06 10:42:58,2897.0,83,9452.09,140,151,3.376,63.0,63.0,35.0,4.11,95.55,0.35,0.0,0.0
cycling,2026-05-06 17:02:18,3012.0,0,14313.76,102,150,4.814,50.0,101.0,12.0,96.9,3.02,0.08,0.0,0.0
cycling,2026-05-07 10:32:27,5543.0,0,29772.12,103,145,5.392,199.0,147.0,22.0,98.39,1.61,0.0,0.0,0.0
running,2026-05-09 11:07:49,3465.0,78,8668.04,145,177,2.498,48.0,48.0,45.0,38.2,23.86,31.68,4.62,1.64
running,2026-05-10 09:25:04,3898.0,84,12847.41,138,165,3.315,157.0,156.0,48.0,14.21,74.55,9.93,1.31,0.0
running,2026-05-12 16:41:14,2867.0,84,8051.26,137,171,2.843,56.0,54.0,32.0,30.57,58.26,7.87,3.3,0.0
running,2026-05-13 18:55:33,4413.0,76,8482.81,131,180,1.919,24.0,24.0,37.0,46.7,47.06,3.46,2.03,0.75
running,2026-05-14 15:46:15,3742.0,87,14540.6,148,173,3.882,70.0,68.0,59.0,5.61,44.5,40.38,9.51,0.0
running,2026-05-15 16:21:21,2410.0,84,8304.8,135,163,3.442,43.0,43.0,27.0,20.71,75.26,3.79,0.23,0.0
running,2026-05-16 10:02:59,3256.0,76,9048.97,134,168,2.779,29.0,32.0,36.0,34.5,57.09,7.85,0.55,0.0
running,2026-05-17 08:32:05,3382.0,84,11066.95,139,163,3.292,82.0,89.0,42.0,33.56,58.68,7.49,0.26,0.0
running,2026-05-18 11:12:17,983.0,83,3140.08,136,148,3.192,26.0,17.0,10.0,22.16,77.84,0.0,0.0,0.0
running,2026-05-19 11:24:39,2961.0,86,11098.45,153,173,3.753,74.0,71.0,51.0,2.62,31.71,47.28,18.39,0.0
